City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
283,Tabas,IR,33.6,56.92,96.8,18,0,6.93,clear sky
284,Asau,RO,46.43,26.4,66.99,80,0,2.17,clear sky
285,Sorong,ID,-0.88,131.25,77.25,84,100,5.82,overcast clouds
286,Manokwari,ID,-0.87,134.08,78.46,75,36,6.13,light rain
287,Beringovskiy,RU,63.05,179.32,51.87,83,0,4.92,clear sky
288,Bubaque,GW,11.28,-15.83,80.11,82,57,11.05,broken clouds
289,Kargopol,RU,61.51,38.95,58.1,96,100,7.14,overcast clouds
290,Evensk,RU,61.95,159.23,42.37,66,96,8.57,overcast clouds
291,Sioux Lookout,CA,50.1,-91.92,77.0,69,90,8.05,overcast clouds
292,Shasta Lake,US,40.68,-122.37,89.01,33,90,6.6,haze
293,Saint George,US,37.1,-113.58,96.01,26,1,4.7,clear sky
294,La Rioja,ES,42.25,-2.5,73.4,49,17,4.7,few clouds
295,Hervey Bay,AU,-25.3,152.85,51.01,43,0,8.05,clear sky
296,San Patricio,MX,19.22,-104.7,89.6,66,75,9.17,broken clouds
297,Altay,CN,47.87,88.12,61.43,39,90,4.65,overcast clouds
298,Rawson,AR,-43.3,-65.1,65.46,27,85,5.44,overcast clouds
299,Phon,TH,15.82,102.6,76.68,87,100,8.28,overcast clouds
300,Vilyuysk,RU,63.76,121.62,39.74,81,0,4.74,clear sky
301,Padang,ID,-0.95,100.35,79.23,70,100,3.62,overcast clouds
302,Ampanihy,MG,-24.7,44.75,67.28,77,0,5.99,clear sky
303,Sao Felix Do Xingu,BR,-6.64,-51.99,102.16,17,0,2.26,clear sky
304,Beloha,MG,-25.17,45.05,66.27,85,0,4.12,clear sky
305,Shunyi,CN,40.12,116.65,73.0,94,90,8.95,light rain
306,Ponta Delgada,PT,37.73,-25.67,75.2,78,20,13.87,few clouds
307,Uray,RU,60.12,64.78,55.31,79,98,7.61,overcast clouds
308,Coihaique,CL,-45.58,-72.07,39.2,86,90,6.98,light rain
309,San Luis,AR,-33.3,-66.34,69.84,22,0,17.29,clear sky
310,Ramshir,IR,30.89,49.41,89.6,66,0,4.7,clear sky
311,Santona,ES,43.44,-3.46,70.0,77,40,5.82,scattered clouds
312,Yarmouth,US,41.71,-70.23,84.0,65,1,8.05,clear sky
313,Bulgan,MN,48.81,103.53,48.31,85,0,2.77,clear sky
314,Dunedin,NZ,-45.87,170.5,48.99,96,100,8.01,overcast clouds
315,Broome,US,42.25,-75.83,82.99,51,1,8.05,clear sky
316,Yaan,NG,7.38,8.57,72.5,97,100,4.29,moderate rain
317,Vila Franca Do Campo,PT,37.72,-25.43,75.2,78,20,13.87,few clouds
318,Bowen,AU,-20.02,148.23,54.0,93,55,3.36,broken clouds
319,Semnan,IR,35.57,53.4,72.28,46,0,13.04,clear sky
